true_phi,p1,p2,n,power,median_hw,p90_hw,feasible,n_sims_used
0.0,0.2,0.2,30,0.3100,0.3113,0.4075,True,100
0.0,0.2,0.2,50,0.2400,0.2522,0.3125,True,100
0.0,0.2,0.2,70,0.3200,0.2190,0.2581,True,100
0.0,0.2,0.2,90,0.5700,0.1924,0.2263,True,100
0.0,0.2,0.2,110,0.8200,0.1737,0.2112,True,100
0.0,0.2,0.2,130,1.0000,0.1597,0.1870,True,100
0.0,0.2,0.2,150,1.0000,0.1523,0.1717,True,100
0.0,0.2,0.2,200,1.0000,0.1334,0.1517,True,100
0.0,0.3,0.3,30,0.0500,0.3314,0.3830,True,100
0.0,0.3,0.3,50,0.0700,0.2607,0.2965,True,100
0.0,0.3,0.3,70,0.2000,0.2227,0.2515,True,100
0.0,0.3,0.3,90,0.5200,0.1991,0.2244,True,100
0.0,0.3,0.3,110,0.8600,0.1745,0.2043,True,100
0.0,0.3,0.3,130,0.9900,0.1628,0.1783,True,100
0.0,0.3,0.3,150,1.0000,0.1520,0.1716,True,100
0.0,0.3,0.3,200,1.0000,0.1342,0.1482,True,100
0.0,0.4,0.4,30,0.0100,0.3407,0.3803,True,100
0.0,0.4,0.4,50,0.0100,0.2629,0.2921,True,100
0.0,0.4,0.4,70,0.0900,0.2269,0.2512,True,100
0.0,0.4,0.4,90,0.4700,0.2014,0.2219,True,100
0.0,0.4,0.4,110,0.9100,0.1793,0.1964,True,100
0.0,0.4,0.4,130,1.0000,0.1643,0.1804,True,100
0.0,0.4,0.4,150,1.0000,0.1547,0.1679,True,100
0.0,0.4,0.4,200,1.0000,0.1338,0.1504,True,100
0.0,0.5,0.5,30,0.0000,0.3354,0.3779,True,100
0.0,0.5,0.5,50,0.0000,0.2651,0.2935,True,100
0.0,0.5,0.5,70,0.0600,0.2237,0.2448,True,100
0.0,0.5,0.5,90,0.6100,0.1962,0.2179,True,100
0.0,0.5,0.5,110,0.8700,0.1799,0.2011,True,100
0.0,0.5,0.5,130,1.0000,0.1626,0.1851,True,100
0.0,0.5,0.5,150,0.9900,0.1550,0.1758,True,100
0.0,0.5,0.5,200,1.0000,0.1313,0.1477,True,100
0.0,0.3,0.5,30,0.0300,0.3323,0.3684,True,100
0.0,0.3,0.5,50,0.0000,0.2694,0.3006,True,100
0.0,0.3,0.5,70,0.2100,0.2225,0.2449,True,100
